"dataset","base_dataset","replicate","separability","composition","method","n_pred_clusters","ARI","NMI","accuracy_majority_mapped","silhouette"
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Hierarchical",3,1,1,1,0.423975611096394
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Louvain",4,0.449756689548836,0.719089803252024,1,0.114548365381279
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Leiden",4,0.442177591986739,0.716960566908823,1,0.114244030674579
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Kmeans",3,1,1,1,0.426146402522764
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Hierarchical",3,1,1,1,0.426146402522764
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Louvain",3,0.889846731408105,0.849709190863186,0.961666666666667,0.120653334835169
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Leiden",3,0.890751980210212,0.850566441828984,0.962,0.120559342894633
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Kmeans",3,0.896204508034959,0.857537637346303,0.964,0.121461703708997
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Hierarchical",3,0.792571817602525,0.748849870194088,0.925,0.109505704353579
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Louvain",3,0.873668962633416,0.840912711299344,0.955333333333333,0.124170520129801
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Leiden",3,0.878194416670715,0.845442659776446,0.957,0.124179390081253
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Kmeans",3,0.884182828423772,0.848666950690072,0.959333333333333,0.124476290362605
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Hierarchical",3,0.775246656233685,0.725123613470787,0.917666666666667,0.113734663885808
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Louvain",3,0.901406367284084,0.864950346507035,0.965666666666667,0.120198048304523
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Leiden",3,0.900548718462921,0.86495223712436,0.965333333333333,0.120108283546628
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Kmeans",3,0.907588218286618,0.871296294365323,0.968,0.120645293652314
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Hierarchical",3,0.794739582501213,0.749432532334543,0.925,0.111535436584411
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Louvain",3,0.901048716372257,0.873545414592983,0.965333333333333,0.121592024696612
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Leiden",3,0.900925095088068,0.871915317157645,0.965333333333333,0.121605127066969
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Kmeans",3,0.903480867339444,0.872805226434744,0.966333333333333,0.121344214432635
"S4_low_balanced_rep4","S4_low_balanced",4,"Low","Balanced","Hierarchical",3,0.823221402758235,0.780483438185757,0.936333333333333,0.114655152784027
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Louvain",3,0.89717396621142,0.855172383840831,0.964333333333333,0.119961361342451
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Leiden",3,0.892703971665302,0.85179165837572,0.962666666666667,0.119956735694099
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Kmeans",3,0.892374215520867,0.851963352693381,0.962666666666667,0.120425654209955
"S4_low_balanced_rep5","S4_low_balanced",5,"Low","Balanced","Hierarchical",3,0.774096736704018,0.728292575522763,0.917333333333333,0.109969160177704
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Louvain",3,0.86268408467183,0.801796926883754,0.959,0.128796978756143
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Leiden",3,0.856051591993428,0.794882995270765,0.957,0.128840878786946
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Kmeans",3,0.8552160092139,0.805940216653646,0.957666666666667,0.127535246268618
"S5_low_moderate_rep1","S5_low_moderate",1,"Low","Moderate","Hierarchical",3,0.745211853352243,0.684773344848027,0.921333333333333,0.121455226805032
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Louvain",3,0.849002724324238,0.795592384860144,0.955333333333333,0.124722383226708
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Leiden",3,0.845751532034717,0.791898273630436,0.954333333333333,0.125101813634892
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Kmeans",3,0.854550185442491,0.800271470351126,0.956666666666667,0.124826131296854
"S5_low_moderate_rep2","S5_low_moderate",2,"Low","Moderate","Hierarchical",3,0.736621481764749,0.66954487870444,0.917666666666667,0.116365426786103
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Louvain",3,0.855002756325934,0.7931726026563,0.956333333333333,0.122521201514634
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Leiden",3,0.852982159164872,0.790002897851312,0.955666666666667,0.122463282423834
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Kmeans",3,0.845711691917154,0.790151905406227,0.954,0.121809208526378
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Hierarchical",3,0.712812841355667,0.643592287631646,0.908666666666667,0.110009680091545
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Louvain",3,0.858885763706008,0.805041386337262,0.958333333333333,0.127008523934067
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Leiden",3,0.863146834985015,0.810767275212496,0.959666666666667,0.127088248772857
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Kmeans",3,0.85403352805065,0.805243476049716,0.957,0.127035260938256
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Hierarchical",3,0.721036825871466,0.668973236854965,0.913666666666667,0.117647842346
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Louvain",3,0.865989804860075,0.81004498364266,0.960333333333333,0.128816788738142
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Leiden",3,0.869361239136932,0.812666745828327,0.961333333333333,0.12886324224083
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Kmeans",3,0.854378969731699,0.804585555507487,0.957333333333333,0.128041670222847
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Hierarchical",3,0.743319391537293,0.677537948001769,0.919666666666667,0.123652183254625
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Louvain",4,0.396069978214807,0.542147597979606,0.968,0.0466942801295295
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Leiden",4,0.410640658181212,0.545946283867294,0.967666666666667,0.0482066948412452
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Kmeans",3,0.351615329210231,0.489478060729253,0.956333333333333,0.0435037079489959
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Hierarchical",3,0.733259301422259,0.590688373391919,0.934,0.129545730516753
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Louvain",4,0.345154058275461,0.496702055869427,0.959333333333333,0.0407212733293162
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Leiden",4,0.340603718829992,0.492668659631765,0.958333333333333,0.0411000214634144
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Kmeans",3,0.333232751232684,0.454968851682831,0.947666666666667,0.0415410134792946
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Hierarchical",3,0.686589775882814,0.531174302423597,0.924333333333333,0.136245372432153
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Louvain",3,0.812073673202766,0.688851302399551,0.954,0.134651329792891
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Leiden",2,0.801460293617849,0.634945013905436,0.937666666666667,0.140273664352996
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Kmeans",3,0.343733452926643,0.483769101351812,0.951666666666667,0.0406172785891777
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Hierarchical",3,0.726504424883382,0.568292421561535,0.931,0.128637439046224
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Louvain",3,0.815807737151847,0.692376372849561,0.954666666666667,0.132206954329055
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Leiden",3,0.822213681789367,0.699230893905872,0.956333333333333,0.133372834179342
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Kmeans",3,0.328535304455299,0.448888348901098,0.94,0.0404510723780672
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Hierarchical",3,0.704457696405694,0.567685574212973,0.931,0.14012854792504
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Louvain",4,0.351308765717351,0.526035972422734,0.966,0.0416981703844723
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Leiden",3,0.853408506846393,0.735922842408604,0.964666666666667,0.146499383689795
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Kmeans",3,0.353330993371028,0.501420038321276,0.956333333333333,0.0401539632337659
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Hierarchical",3,0.721098655250467,0.564350392430884,0.931333333333333,0.14225711575335
