"dataset","base_dataset","replicate","separability","composition","method","true_celltype","recall"
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Leiden","CD8_T",0.966666666666667
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Kmeans","Naive_CD4_T",0.957777777777778
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Kmeans","CD4_T_memory",0.941111111111111
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Kmeans","CD8_T",0.97
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Hierarchical","Naive_CD4_T",0.928333333333333
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Hierarchical","CD4_T_memory",0.86
"S5_low_moderate_rep3","S5_low_moderate",3,"Low","Moderate","Hierarchical","CD8_T",0.936666666666667
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Louvain","Naive_CD4_T",0.967222222222222
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Louvain","CD4_T_memory",0.931111111111111
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Louvain","CD8_T",0.986666666666667
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Leiden","Naive_CD4_T",0.969444444444444
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Leiden","CD4_T_memory",0.93
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Leiden","CD8_T",0.99
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Kmeans","Naive_CD4_T",0.958333333333333
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Kmeans","CD4_T_memory",0.942222222222222
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Kmeans","CD8_T",0.993333333333333
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Hierarchical","Naive_CD4_T",0.933333333333333
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Hierarchical","CD4_T_memory",0.86
"S5_low_moderate_rep4","S5_low_moderate",4,"Low","Moderate","Hierarchical","CD8_T",0.956666666666667
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Louvain","Naive_CD4_T",0.971666666666667
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Louvain","CD4_T_memory",0.934444444444444
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Louvain","CD8_T",0.97
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Leiden","Naive_CD4_T",0.972222222222222
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Leiden","CD4_T_memory",0.935555555555556
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Leiden","CD8_T",0.973333333333333
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Kmeans","Naive_CD4_T",0.955555555555556
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Kmeans","CD4_T_memory",0.954444444444444
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Kmeans","CD8_T",0.976666666666667
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Hierarchical","Naive_CD4_T",0.96
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Hierarchical","CD4_T_memory",0.83
"S5_low_moderate_rep5","S5_low_moderate",5,"Low","Moderate","Hierarchical","CD8_T",0.946666666666667
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Louvain","Naive_CD4_T",0.9825
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Louvain","CD4_T_memory",0.914814814814815
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Louvain","CD8_T",0.866666666666667
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Leiden","Naive_CD4_T",0.982083333333333
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Leiden","CD4_T_memory",0.912962962962963
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Leiden","CD8_T",0.883333333333333
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Kmeans","Naive_CD4_T",0.98625
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Kmeans","CD4_T_memory",0.92962962962963
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Kmeans","CD8_T",0
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Hierarchical","Naive_CD4_T",0.955
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Hierarchical","CD4_T_memory",0.846296296296296
"S6_low_extreme_rep1","S6_low_extreme",1,"Low","Extreme","Hierarchical","CD8_T",0.883333333333333
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Louvain","Naive_CD4_T",0.985
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Louvain","CD4_T_memory",0.861111111111111
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Louvain","CD8_T",0.816666666666667
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Leiden","Naive_CD4_T",0.984166666666667
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Leiden","CD4_T_memory",0.861111111111111
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Leiden","CD8_T",0.8
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Kmeans","Naive_CD4_T",0.982916666666667
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Kmeans","CD4_T_memory",0.896296296296296
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Kmeans","CD8_T",0
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Hierarchical","Naive_CD4_T",0.974583333333333
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Hierarchical","CD4_T_memory",0.722222222222222
"S6_low_extreme_rep2","S6_low_extreme",2,"Low","Extreme","Hierarchical","CD8_T",0.733333333333333
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Louvain","Naive_CD4_T",0.962916666666667
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Louvain","CD4_T_memory",0.92037037037037
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Louvain","CD8_T",0.9
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Leiden","Naive_CD4_T",0.965
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Leiden","CD4_T_memory",0.92037037037037
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Leiden","CD8_T",0
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Kmeans","Naive_CD4_T",0.980416666666667
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Kmeans","CD4_T_memory",0.92962962962963
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Kmeans","CD8_T",0
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Hierarchical","Naive_CD4_T",0.955
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Hierarchical","CD4_T_memory",0.833333333333333
"S6_low_extreme_rep3","S6_low_extreme",3,"Low","Extreme","Hierarchical","CD8_T",0.85
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Louvain","Naive_CD4_T",0.96125
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Louvain","CD4_T_memory",0.92962962962963
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Louvain","CD8_T",0.916666666666667
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Leiden","Naive_CD4_T",0.963333333333333
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Leiden","CD4_T_memory",0.92962962962963
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Leiden","CD8_T",0.916666666666667
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Kmeans","Naive_CD4_T",0.96625
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Kmeans","CD4_T_memory",0.927777777777778
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Kmeans","CD8_T",0
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Hierarchical","Naive_CD4_T",0.983333333333333
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Hierarchical","CD4_T_memory",0.72037037037037
"S6_low_extreme_rep4","S6_low_extreme",4,"Low","Extreme","Hierarchical","CD8_T",0.733333333333333
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Louvain","Naive_CD4_T",0.985833333333333
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Louvain","CD4_T_memory",0.887037037037037
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Louvain","CD8_T",0.883333333333333
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Leiden","Naive_CD4_T",0.977916666666667
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Leiden","CD4_T_memory",0.914814814814815
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Leiden","CD8_T",0.883333333333333
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Kmeans","Naive_CD4_T",0.986666666666667
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Kmeans","CD4_T_memory",0.927777777777778
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Kmeans","CD8_T",0
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Hierarchical","Naive_CD4_T",0.96375
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Hierarchical","CD4_T_memory",0.8
"S6_low_extreme_rep5","S6_low_extreme",5,"Low","Extreme","Hierarchical","CD8_T",0.816666666666667
