"separability","composition","method","n_reps","mean_ARI","sd_ARI","sem_ARI","mean_NMI","sd_NMI","sem_NMI","mean_silhouette","sd_silhouette","sem_silhouette","mean_accuracy","sd_accuracy","sem_accuracy"
"High","Balanced","Hierarchical",5,1,0,0,1,0,0,0.382671725845727,0.00132891234603523,0.000594307668374698,1,0,0
"High","Balanced","Kmeans",5,1,0,0,1,0,0,0.382671725845727,0.00132891234603523,0.000594307668374698,1,0,0
"High","Balanced","Leiden",5,1,0,0,1,0,0,0.382671725845727,0.00132891234603523,0.000594307668374698,1,0,0
"High","Balanced","Louvain",5,1,0,0,1,0,0,0.382671725845727,0.00132891234603523,0.000594307668374698,1,0,0
"High","Moderate","Hierarchical",5,0.99975844120719,0.000540141881286453,0.000241558792810226,0.999395060844743,0.00135268507340652,0.000604939155257256,0.388099868028915,0.00123043366906323,0.000550266665165972,0.999933333333333,0.00014907119849997,6.66666666666593e-05
"High","Moderate","Kmeans",5,1,0,0,1,0,0,0.388129813033073,0.00126539373411939,0.000565901281558649,1,0,0
"High","Moderate","Leiden",5,1,0,0,1,0,0,0.388129813033073,0.00126539373411939,0.000565901281558649,1,0,0
"High","Moderate","Louvain",5,1,0,0,1,0,0,0.388129813033073,0.00126539373411939,0.000565901281558649,1,0,0
"High","Extreme","Hierarchical",5,1,0,0,1,0,0,0.425375613204954,0.00207966733745579,0.000930055507427426,1,0,0
"High","Extreme","Kmeans",5,1,0,0,1,0,0,0.425375613204954,0.00207966733745579,0.000930055507427426,1,0,0
"High","Extreme","Leiden",5,0.554121804238971,0.249504817435276,0.11158194649979,0.773689612915929,0.12655052670209,0.0565951160588549,0.177641065292322,0.139504333847992,0.062388234727987,1,0,0
"High","Extreme","Louvain",5,0.548894714180387,0.252347378361644,0.112853178392099,0.772226434489925,0.127355694669559,0.0569551981205684,0.177045893323027,0.139826625531306,0.0625323679504815,1,0,0
"Low","Balanced","Hierarchical",5,0.791975239159935,0.0198985337169915,0.00889889480875289,0.746436405941588,0.0221214584333101,0.00989301696366348,0.111880023557106,0.00226652617962437,0.0010136213220846,0.924266666666667,0.00771866424828662,0.00345189159093324
"Low","Balanced","Kmeans",5,0.896766127521132,0.00922156579712713,0.00412400959627266,0.860453892305965,0.0110638932539208,0.00494792348231363,0.121670631273301,0.00162966305809362,0.000728807475663504,0.964066666666667,0.0033532736906558,0.00149962958389359
"Low","Balanced","Leiden",5,0.892624836419443,0.00926597360638782,0.00414386937232041,0.856933662852631,0.0110427845714704,0.00493848339253876,0.121281775856716,0.00174323329036168,0.000779597627577869,0.962466666666667,0.00341239570455196,0.00152606975230129
"Low","Balanced","Louvain",5,0.892628948781857,0.0115738342127672,0.00517597601201206,0.856858009420676,0.0127686616707221,0.00571031909548615,0.121315057861711,0.00171380113877616,0.000766435169244009,0.962466666666667,0.00428563491990004,0.00191659420152867
"Low","Moderate","Hierarchical",5,0.731800478776283,0.0142493770714673,0.00637251515376553,0.66888433920817,0.0155521504424899,0.00695513311714218,0.117826071856661,0.00525298890316626,0.00234920805450636,0.9162,0.00509138706269935,0.00227693751439175
"Low","Moderate","Kmeans",5,0.852778076871179,0.00397355932476082,0.00177702975255867,0.801238524793641,0.00658020666935249,0.00294275788373393,0.125849503450591,0.0025702440771809,0.00114944809506854,0.956533333333333,0.00146439217576594,0.000654896090146292
"Low","Moderate","Leiden",5,0.857458671462993,0.00912554751875095,0.00408106891676633,0.800043637558667,0.0108182126889801,0.00483805179352205,0.126471493171872,0.00272289435655484,0.00121771537536143,0.9576,0.00287131406231441,0.00128409068561722
"Low","Moderate","Louvain",5,0.858313026777617,0.0066333761891604,0.00296653601585823,0.801129656876024,0.00687760898187934,0.00307576024122906,0.126373175233939,0.00273004369142152,0.0012209126551126,0.957866666666667,0.00202210011841374,0.000904310664416698
"Low","Extreme","Hierarchical",5,0.714381970768923,0.0188369230170515,0.0084241280706115,0.564438212804182,0.0213363929611599,0.00954192501116031,0.135362841134704,0.00612559495912336,0.00273944934624597,0.930333333333333,0.00358236421003413,0.00160208197875973
"Low","Extreme","Kmeans",5,0.342089566239177,0.010976946207254,0.00490903958095567,0.475704880197254,0.0227217448243352,0.0101614731989235,0.0412534071258603,0.00136049151446291,0.00060843030183014,0.9504,0.00684916864379259,0.00306304133537605
"Low","Extreme","Leiden",5,0.645665371852962,0.248444058948701,0.111107560883052,0.621742738743794,0.102006165013734,0.0456185438189539,0.101890519705358,0.0525161651118177,0.0234859430215254,0.956933333333333,0.0117103942432923,0.00523704751426476
"Low","Extreme","Louvain",5,0.544082842512447,0.247131451651079,0.110520545054003,0.589222660304176,0.0939883450233653,0.0420328657129898,0.0791944015930529,0.0495686606671455,0.0221677789610715,0.9604,0.0064048592663869,0.00286434014119211
